BDRY_IDENT	SEG_NBR	NAME	TYPE	ICAO	SHAP	DERIVATION	WGS_LAT1	WGS_DLAT1	WGS_LONG1	WGS_DLONG1	WGS_LAT2	WGS_DLAT2	WGS_LONG2	WGS_DLONG2	WGS_LAT0	WGS_DLAT0	WGS_LONG0	WGS_DLONG0	RADIUS1	RADIUS2	BEARING1	BEARING2	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	CYCLE_DATE
FP00005	360	TZ INDIA MINUS 5 30	01	FP	G		N28500999	28.836108	E080032094	80.055817	N28220899	28.369164	E081111994	81.188872													200107
FP00005	370	TZ INDIA MINUS 5 30	01	FP	G		N28220899	28.369164	E081111994	81.188872	N27511899	27.855275	E081543794	81.910539													200107
FP00005	380	TZ INDIA MINUS 5 30	01	FP	G		N27511899	27.855275	E081543794	81.910539	N27210801	27.352225	E083512991	83.858308													200107
FP00005	390	TZ INDIA MINUS 5 30	01	FP	G		N27210801	27.352225	E083512991	83.858308	N26320399	26.534442	E087001598	87.004439													200107
FP00005	400	TZ INDIA MINUS 5 30	01	FP	G		N26320399	26.534442	E087001598	87.004439	N26460000	26.766667	E088113889	88.194136													200107
FP00005	410	TZ INDIA MINUS 5 30	01	FP	G		N26460000	26.766667	E088113889	88.194136	N27300699	27.501942	E088025397	88.048325													200107
FP00005	420	TZ INDIA MINUS 5 30	01	FP	G		N27300699	27.501942	E088025397	88.048325	N27571898	27.955272	E088084394	88.145539													200107
FP00005	430	TZ INDIA MINUS 5 30	01	FP	G		N27571898	27.955272	E088084394	88.145539	N28004800	28.013333	E088495399	88.831664													200107
FP00005	440	TZ INDIA MINUS 5 30	01	FP	G		N28004800	28.013333	E088495399	88.831664	N27185199	27.314442	E088550194	88.917206													200107
FP00005	450	TZ INDIA MINUS 5 30	01	FP	G		N27185199	27.314442	E088550194	88.917206	N28003019	28.008386	E089270153	89.450425													200107
FP00005	460	TZ INDIA MINUS 5 30	01	FP	G		N28003019	28.008386	E089270153	89.450425	N28192898	28.324717	E090012597	90.023881													200107
FP00005	470	TZ INDIA MINUS 5 30	01	FP	G		N28192898	28.324717	E090012597	90.023881	N28064398	28.112217	E090210096	90.350267													200107
FP00005	480	TZ INDIA MINUS 5 30	01	FP	G		N28064398	28.112217	E090210096	90.350267	N28023700	28.043611	E090553292	90.925811													200107
FP00005	490	TZ INDIA MINUS 5 30	01	FP	G		N28023700	28.043611	E090553292	90.925811	N28044099	28.078053	E091133194	91.225539													200107
FP00005	500	TZ INDIA MINUS 5 30	01	FP	G		N28044099	28.078053	E091133194	91.225539	N27592898	27.991383	E091311394	91.520539													200107
FP00005	510	TZ INDIA MINUS 5 30	01	FP	G		N27592898	27.991383	E091311394	91.520539	N27455300	27.764722	E091392794	91.657761													200107
FP00005	520	TZ INDIA MINUS 5 30	01	FP	G		N27455300	27.764722	E091392794	91.657761	N27473800	27.793889	E092192394	92.323317													200107
FP00005	530	TZ INDIA MINUS 5 30	01	FP	G		N27473800	27.793889	E092192394	92.323317	N28065313	28.114758	E092411371	92.687142													200107
FP00005	540	TZ INDIA MINUS 5 30	01	FP	G		N28065313	28.114758	E092411371	92.687142	N28354207	28.595019	E093194320	93.328667													200107
FP00005	550	TZ INDIA MINUS 5 30	01	FP	G		N28354207	28.595019	E093194320	93.328667	N28400912	28.669200	E093574220	93.961722													200107
FP00005	560	TZ INDIA MINUS 5 30	01	FP	G		N28400912	28.669200	E093574220	93.961722	N29201151	29.336531	E094415049	94.697358													200107
FP00005	570	TZ INDIA MINUS 5 30	01	FP	G		N29201151	29.336531	E094415049	94.697358	N29034900	29.063611	E095281393	95.470536													200107
